ID,Species,Temp,Rate,units,Conditions,Source.,source.name
1,Gossypium hirsutum,20,0.048,fraction of sites activated/min,air-conditioned greenhouse under natural light,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
1,Gossypium hirsutum,23,0.069,fraction of sites activated/min,air-conditioned greenhouse under natural light,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
1,Gossypium hirsutum,26,0.098,fraction of sites activated/min,air-conditioned greenhouse under natural light,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
1,Gossypium hirsutum,28,0.1,fraction of sites activated/min,air-conditioned greenhouse under natural light,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
1,Gossypium hirsutum,30,0.098,fraction of sites activated/min,air-conditioned greenhouse under natural light,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
1,Gossypium hirsutum,33,0.11,fraction of sites activated/min,air-conditioned greenhouse under natural light,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
1,Gossypium hirsutum,35,0.091,fraction of sites activated/min,air-conditioned greenhouse under natural light,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
1,Gossypium hirsutum,38,0.064,fraction of sites activated/min,air-conditioned greenhouse under natural light,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
1,Gossypium hirsutum,40,0.038,fraction of sites activated/min,air-conditioned greenhouse under natural light,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
1,Gossypium hirsutum,43,0.01,fraction of sites activated/min,air-conditioned greenhouse under natural light,Carmo-Silva and Salvucci 2011,"The activity of Rubisco’s molecular chaperone, Rubisco activase, in leaf extracts"
