ID,OriginalID,topt,e,ConCommon,ConKingdom,ConPhylum,ConClass,ConOrder,ConFamily,ConGenus,ConSpecies,StandardisedTraitName,habitat,Citation,Metabolic_rate,Habitat,PT
6,6,31.58785,0.626344454,coral,Metazoa,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,Pocillopora damicornis,respiration rate,marine,"Coles, S., & Jokiel, P. (1977). Effects of temperature on photosynthesis and respiration in hermatypic corals. Marine Biology, 216, 209_216. Retrieved from http://link.springer.com/article/10.1007/BF00402313",R,Aquatic,
8,8,30.956,0.055940157,leaf,Plantae,Spermatophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium barbadense,net photosynthesis,terrestrial,"Wise, R. R., Olson, a. J., Schrader, S. M., & Sharkey, T. D. (2004). Electron transport is the functional limitation of photosynthesis in field-grown Pima cotton plants at high temperature. Plant, Cell and Environment, 27(6), 717_724.",NP,Terrestrial,C3
10,10,33.923237,0.262961344,leaf,Plantae,Spermatophyta,Magnoliopsida,Malvales,Malvaceae,Gossypium,Gossypium barbadense,net photosynthesis,terrestrial,"Wise, R. R., Olson, a. J., Schrader, S. M., & Sharkey, T. D. (2004). Electron transport is the functional limitation of photosynthesis in field-grown Pima cotton plants at high temperature. Plant, Cell and Environment, 27(6), 717_724.",NP,Terrestrial,C3
11,11,25.952,0.367879225,leaf,Plantae,Streptophyta,Liliopsida,Alismatales,Zosteraceae,Zostera,Zostera marina,net photosynthesis,marine,"Marsh, J. a., Dennison, W. C., & Alberte, R. S. (1986). Effects of temperature on photosynthesis and respiration in eelgrass (Zostera marina L.). Journal of Experimental Marine Biology and Ecology, 101(3), 257_267.",NP,Aquatic,
13,13,39.438331,0.089477851,leaf,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus ciliaris,net photosynthesis,terrestrial,"Ludlow, M., & Wilson, G. (1971). Photosynthesis of tropical pasture plants I. Illuminance, carbon dioxide concentration, leaf temperature, and leaf-air vapour pressure difference. Australian Journal of Biological Sciences, 449_470. Retrieved from http://www.publish.csiro.au/?paper=BI9710449",NP,Terrestrial,C3
15,15,32.944744,0.20744876,leaf,Plantae,Spermatophyta,Magnoliopsida,Fabales,Fabaceae,Calopogonium,Calopogonium mucunoides,net photosynthesis,terrestrial,"Ludlow, M., & Wilson, G. (1971). Photosynthesis of tropical pasture plants I. Illuminance, carbon dioxide concentration, leaf temperature, and leaf-air vapour pressure difference. Australian Journal of Biological Sciences, 449_470. Retrieved from http://www.publish.csiro.au/?paper=BI9710449",NP,Terrestrial,C3
17,17,34.307967,0.367253827,NA,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Collema,Collema tenax,net photosynthesis,terrestrial,"Lange, O. L., Belnap, J., & Reichenberger, H. (1998). Photosynthesis of the cyanobacterial soil-crust lichen Collema tenax from arid lands in southern Utah, USA: role of water content on light and temperature responses of CO2 exchange. Functional Ecology, 12(2), 195_202.",NP,Terrestrial,C3
19,19,24.2315063,0.247634499,NA,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Psoraceae,Psora,Psora cerebriformis,net photosynthesis,terrestrial,"Lange, O. L., Belnap, J., & Reichenberger, H. (1998). Photosynthesis of the cyanobacterial soil-crust lichen Collema tenax from arid lands in southern Utah, USA: role of water content on light and temperature responses of CO2 exchange. Functional Ecology, 12(2), 195_202.",NP,Terrestrial,C3
21,21,26.4598044,0.12864086,NA,Fungi,Ascomycota,Lecanoromycetes,Ostropales,Graphidaceae,Diploschistes,Diploschistes diacapsis,net photosynthesis,terrestrial,"Lange, O. L., Belnap, J., & Reichenberger, H. (1998). Photosynthesis of the cyanobacterial soil-crust lichen Collema tenax from arid lands in southern Utah, USA: role of water content on light and temperature responses of CO2 exchange. Functional Ecology, 12(2), 195_202.",NP,Terrestrial,C3
24,24,28.589128,0.233805561,leaf,Plantae,Spermatophyta,Magnoliopsida,Zygophyllales,Zygophyllaceae,Larrea,Larrea tridentata,net photosynthesis,terrestrial,"Salvucci, M., & Crafts-Brandner, S. (2004). Relationship between the heat tolerance of photosynthesis and the thermal stability of Rubisco activase in plants from contrasting thermal environments. Plant Physiology, 134(April), 1460_1470.",NP,Terrestrial,C3
