ID,sharpschoolhigh_1981,sharpschoollow_1981,sharpschoolfull_1981,best_model
1,-140.4012894,-99.82409673,-101.9845431,sharpschoolfull_1981
2,-155.4575394,-99.95294325,-100.2966367,sharpschoolfull_1981
3,-334.8166284,-320.6847746,-331.9223256,sharpschoollow_1981
4,-246.2922818,-244.8734471,-242.9623909,sharpschoolfull_1981
5,-403.5631243,-421.2230277,-407.4000398,sharpschoolhigh_1981
6,-291.5232157,-291.4791158,-287.6339354,sharpschoolfull_1981
7,-167.7937706,-156.1582919,-162.1434866,sharpschoollow_1981
8,-224.1565929,-166.2284317,-173.9282511,sharpschoollow_1981
9,-250.6753864,-222.7161167,-245.5451185,sharpschoollow_1981
10,-234.8978504,-218.431293,-230.8969624,sharpschoollow_1981
11,-221.5489824,-216.4275762,-217.5489824,sharpschoollow_1981
12,NULL,-235.337749,NULL,sharpschoollow_1981
13,-324.5700921,-273.2236054,-322.6284265,sharpschoollow_1981
14,NULL,-239.2554797,NULL,sharpschoollow_1981
15,-385.00197,-343.8092266,-385.7375968,sharpschoollow_1981
16,NULL,-239.1540992,NULL,sharpschoollow_1981
17,-179.4254648,-162.4449204,-190.8954367,sharpschoollow_1981
18,NULL,-198.4520174,NULL,sharpschoollow_1981
19,-180.6171883,-168.818661,-182.0143289,sharpschoollow_1981
20,NULL,-229.0765886,NULL,sharpschoollow_1981
21,-204.8723136,-189.1345545,-201.4917969,sharpschoollow_1981
22,NULL,-207.4519317,NULL,sharpschoollow_1981
23,-160.6355701,-137.4049857,-148.8023051,sharpschoollow_1981
24,-169.2530176,-143.0640115,-179.1291286,sharpschoollow_1981
25,-110.0103237,-72.46661931,-106.0244652,sharpschoolfull_1981
26,6.317563889,NULL,NULL,sharpschoolhigh_1981
27,4.687975737,9.062992096,12.33514139,sharpschoolfull_1981
28,13.48878202,14.04145856,16.60169421,sharpschoolhigh_1981
29,4.769134478,6.47189397,8.373295683,sharpschoolhigh_1981
30,13.88818445,8.13782137,12.47080658,sharpschoolfull_1981
31,NULL,-1.761792719,NULL,sharpschoollow_1981
32,22.40236997,40.74421172,24.95586322,sharpschoolhigh_1981
33,37.88123279,46.08715239,41.39155727,sharpschoolhigh_1981
34,NULL,22.36075006,NULL,sharpschoollow_1981
35,37.51064481,40.69265115,38.11559164,sharpschoolhigh_1981
36,31.64196276,38.96068127,35.06057207,sharpschoolhigh_1981
37,22.43842568,22.45750045,25.79028079,sharpschoolhigh_1981
38,34.78568424,37.89450729,26.68112866,sharpschoolfull_1981
39,NULL,40.31389557,NULL,sharpschoollow_1981
40,NULL,21.81464431,NULL,sharpschoollow_1981
41,33.28864795,41.82528793,30.22636982,sharpschoolfull_1981
42,47.05656288,50.63044802,50.67878419,sharpschoolhigh_1981
43,NULL,29.04977076,NULL,sharpschoollow_1981
44,37.39580723,45.92587679,38.13967943,sharpschoolhigh_1981
45,45.70187891,49.80469985,49.42434706,sharpschoolhigh_1981
46,NULL,34.97119761,NULL,sharpschoollow_1981
47,31.73374139,53.26588456,35.09087754,sharpschoolhigh_1981
48,48.98918224,56.277786,52.73859627,sharpschoolhigh_1981
49,35.44535374,38.79995412,39.4453538,sharpschoolhigh_1981
50,NULL,NULL,NULL,NULL
51,NULL,NULL,NULL,NULL
52,NULL,NULL,NULL,NULL
53,-150.6571949,-146.5776608,-534.432062,sharpschoollow_1981
54,-161.8415198,-161.0983473,-207.6273489,sharpschoollow_1981
55,-155.2593734,-149.9622671,-547.8743199,sharpschoollow_1981
56,-151.8462368,-145.0215975,-538.5475191,sharpschoollow_1981
57,-158.1111273,-144.547156,-541.1608033,sharpschoollow_1981
58,-181.1085198,-175.3845758,-204.0881916,sharpschoollow_1981
59,-194.050819,-182.5112648,-192.2805977,sharpschoollow_1981
60,-255.3570882,-245.7481191,-251.3679425,sharpschoollow_1981
61,-150.4435727,-124.9354144,-120.2206835,sharpschoolfull_1981
62,-155.4355231,-146.7212566,-197.7147235,sharpschoollow_1981
63,-126.0538162,-119.0283839,-110.7440515,sharpschoolfull_1981
64,NULL,NULL,NULL,NULL
65,-214.5690415,-208.3481846,-227.0565554,sharpschoollow_1981
66,-154.8230589,-146.662846,-197.7216264,sharpschoollow_1981
67,-121.4481767,-114.405721,-107.2799616,sharpschoolfull_1981
68,-146.6316289,-132.4604189,-523.9459302,sharpschoollow_1981
69,-146.4183778,-141.4071493,-153.3513872,sharpschoollow_1981
70,-159.0409249,-139.4572497,-542.8829984,sharpschoollow_1981
71,-186.1213577,-167.9779835,-201.1967428,sharpschoollow_1981
72,-174.5443321,-173.1142867,-181.3381896,sharpschoollow_1981
