"","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","orginalID"
"1",1.04660771584863e-05,32.031,7.495,38.692,0.0503192087922162,NA,1.06631350548758,6.661,31.197,9.447,NA,"1"
"2",1.14906614042048e-05,24.681,17.767,44.838,NA,0.437432090321933,NA,20.157,27.071,12.519,NA,"2"
"3",1.27964213828153e-07,30.170886,-22.037114,33.050886,0.247906108773592,NA,1.38854288702686,2.88,55.088,7.098,NA,"3"
"4",9.52661936470408e-08,30.115036,10.837036,64.990036,0.640422341009054,NA,2.311339644588,34.875,54.153,7.207,NA,"4"
"5",7.23743205150159e-08,30.547464,8.128464,33.098464,0.679544395850054,NA,2.44096034814046,2.551,24.97,3.605,NA,"5"
"6",2.05189751847082e-08,31.58785,14.60485,Inf,0.626344453923391,NA,2.27374452870313,Inf,Inf,6.125,NA,"6"
"7",2.91210857792635e-06,20.391,-2.459,34.893,0.0750476139819014,2.34642176983021,1.10935261114455,14.502,37.352,10.371,-2.27137415584831,"7"
"8",2.27092285439729e-05,29.324,19.643,Inf,NA,0.134308276317024,NA,Inf,Inf,16.962,NA,"8"
"9",3.17967968216232e-05,31.280624,9.845624,74.410624,NA,0.318840643991903,NA,43.13,64.565,9.97,NA,"9"
"10",5.35379329052792e-05,33.924237,1.647237,69.792237,0.262961343700814,0.343145656848038,1.39169072412074,35.868,68.145,11.269,-0.080184313147224,"10"
"11",1.51247818065157e-06,25.952,-8.205,74.104,0.484433426566588,NA,1.95585037204772,48.152,82.309,15.047,NA,"11"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12"
"13",6.58646393356953e-05,39.794331,-15.098669,80.490331,0.240260129279678,0.43684547191148,1.36019158853847,40.696,95.589,22.364,-0.196585342631802,"13"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14"
"15",3.54356712764497e-05,32.944744,-9.123256,72.610744,0.207448760254424,0.225385041567768,1.31884453257015,39.666,81.734,26.059,-0.0179362813133439,"15"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16"
"17",5.37586859655077e-06,34.307967,-8.61903299999999,44.330967,0.367253826583213,1.20456511829162,1.65832735508756,10.023,52.95,17.359,-0.837311291708406,"17"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18"
"19",3.9001673669291e-06,24.2315063,-8.3684937,41.9265063,0.247634499423636,NA,1.41691129602696,17.695,50.295,22.023,NA,"19"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20"
"21",2.09787516155845e-06,24.1838044,-6.1501956,30.3068044,0.128640859512138,NA,1.19803362124735,6.123,36.457,21.84,NA,"21"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22"
