"","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","orginalID","AIC"
"1",1.08641187640202e-05,26.991,13.76,40.979,NA,0.979949210005118,NA,13.988,27.219,9.46,NA,"1","-101.984543092081"
"2",1.14152961668179e-05,25.021,17.437,51.042,NA,0.73570958392466,NA,26.021,33.605,14.197,NA,"2","-100.296636707329"
"3",1.27964214489517e-07,30.170886,-22.037114,33.050886,0.247906108773592,NA,1.38854288702686,2.88,55.088,7.098,NA,"3","-331.922325567138"
"4",9.52658937465187e-08,30.115036,10.838036,64.994036,0.640422341009054,NA,2.311339644588,34.879,54.156,7.207,NA,"4","-242.962390870376"
"5",7.23743206189699e-08,30.547464,8.128464,33.098464,0.679544395850054,NA,2.44096034814046,2.551,24.97,3.605,NA,"5","-407.400039806007"
"6",2.05180787663158e-08,31.58785,14.68485,Inf,0.626344453923391,NA,2.27374452870313,Inf,Inf,6.115,NA,"6","-287.633935381568"
"7",2.67999999998859e-06,19.601,8.986,31.048,NA,1.17898012506479,NA,11.447,22.062,18.849,NA,"7","-162.143486571477"
"8",2.29196480495698e-05,30.317,16.497,Inf,0.0559401568175535,0.172667746991277,1.07471730448489,Inf,Inf,15.962,-0.116727590173724,"8","-173.928251122624"
"9",3.17975197509364e-05,31.280624,9.850624,74.408624,NA,0.318840643991903,NA,43.128,64.558,9.97,NA,"9","-245.545118493381"
"10",5.35311521828518e-05,33.916237,3.939237,68.275237,0.262961343700814,0.343145656848038,1.39169072412074,34.359,64.336,11.269,-0.080184313147224,"10","-230.89696243598"
"11",1.51247905987764e-06,25.953,-8.205,74.102,0.484433426566588,NA,1.95585037204772,48.149,82.307,15.047,NA,"11","-217.548982402808"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","NULL"
"13",6.58646392362019e-05,39.794331,-15.098669,80.490331,0.240260129279678,0.43684547191148,1.36019158853847,40.696,95.589,22.364,-0.196585342631802,"13","-322.628426530214"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","NULL"
