,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,orginalID,AIC
1,1.18E-05,26.362,-24.731,47.729,NA,0.97994921,NA,21.367,72.46,11.756,NA,1,-140.4012894
2,1.16E-05,25.559,#NAME?,48.182,NA,0.735709584,NA,22.623,Inf,13.541,NA,2,-155.4575394
3,1.06E-07,27.803886,-20.233114,68.164886,0.143804719,0.665302299,1.210154764,40.361,88.398,12.484,-0.521497579,3,-334.8166284
4,9.50E-08,30.208036,8.854036,Inf,0.640422341,NA,2.311339645,Inf,Inf,7.231,NA,4,-246.2922818
5,8.18E-08,30.422464,9.527464,32.912464,0.679544396,NA,2.440960348,2.49,23.385,2.887,NA,5,-403.5631243
6,2.07E-08,31.58785,14.17185,Inf,0.626344454,NA,2.273744529,Inf,Inf,5.953,NA,6,-291.5232157
7,2.45E-06,10,#NAME?,32.03,NA,0.492309532,NA,22.03,Inf,18.799,NA,7,-167.7937706
8,2.13E-05,30.956,#NAME?,90.964,0.055940157,0.172667747,1.074717304,60.008,Inf,20.078,-0.11672759,8,-224.1565929
9,3.36E-05,30.120624,23.999624,Inf,NA,0.318840644,NA,Inf,Inf,8.574,NA,9,-250.6753864
10,5.35E-05,33.923237,1.657237,69.808237,0.262961344,0.343145657,1.391690724,35.885,68.151,11.269,-0.080184313,10,-234.8978504
11,1.51E-06,25.952,-8.205,74.105,0.484433427,NA,1.955850372,48.153,82.31,15.047,NA,11,-221.5489824
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NULL
13,6.65E-05,39.438331,-25.471669,85.272331,0.264753009,0.355296128,1.41028736,45.834,110.744,21.18,-0.09054312,13,-324.5700921
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NULL
15,3.59E-05,32.698744,-35.070256,90.684744,0.20744876,0.225385042,1.318844533,57.986,125.755,24.191,-0.017936281,15,-385.00197
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NULL
17,6.03E-06,32.790967,-25.815033,47.399967,0.367253827,1.204565118,1.658327355,14.609,73.215,11.756,-0.837311292,17,-179.4254648
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NULL
19,4.11E-06,22.3085063,-32.4824937,53.2335063,0.247634499,NA,1.416911296,30.925,85.716,16.006,NA,19,-180.6171883
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NULL
21,2.31E-06,26.4598044,#NAME?,29.6058044,0.12864086,NA,1.198033621,3.146,Inf,14.774,NA,21,-204.8723136
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NULL
23,1.80E-05,15.5414484,#NAME?,50.7224484,NA,0.419755615,NA,35.181,Inf,21.142,NA,23,-160.6355701
24,2.97E-05,28.405128,-28.331872,74.930128,0.233805561,0.456848217,1.372689788,46.525,103.262,19.764,-0.223042656,24,-169.2530176
25,0.029626692,25.744697,#NAME?,43.333697,0.181232009,0.818130206,1.274710185,17.589,Inf,15.488,-0.636898197,25,-110.0103237
