,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,orginalID
1,8.57E-06,40,17.609,Inf,-0.307170963,NA,0.672513179,Inf,Inf,18.86,NA,1
2,9.45E-06,40,17.814,Inf,-0.271044954,NA,0.705411945,Inf,Inf,18.959,NA,2
3,1.18E-07,31.565886,3.817886,Inf,0.135681801,NA,1.192126455,Inf,Inf,7.277,NA,3
4,9.64E-08,31.566036,11.502036,Inf,0.640422341,NA,2.311339645,Inf,Inf,7.304,NA,4
5,6.42E-08,31.563464,1.205464,Inf,0.638170524,NA,2.287744271,Inf,Inf,3.48,NA,5
6,2.05E-08,31.58785,13.48585,Inf,0.626344454,NA,2.273744529,Inf,Inf,6.415,NA,6
7,1.24E-06,40,#NAME?,Inf,-0.492310017,NA,NA,Inf,Inf,30,NA,7
8,2.06E-05,45,21.522,Inf,-0.070086435,NA,0.916186912,Inf,Inf,19.819,NA,8
9,2.83E-05,39.338624,25.819624,Inf,-0.146706871,NA,0.833530649,Inf,Inf,10.14,NA,9
10,5.14E-05,39.310237,25.642237,Inf,0.061969617,NA,1.078647924,Inf,Inf,10.126,NA,10
11,1.36E-06,35,-1.736,Inf,0.235724215,NA,1.365732355,Inf,Inf,18.762,NA,11
12,4.71E-07,35,14.226,Inf,0.468687275,NA,1.855815132,Inf,Inf,7.632,NA,12
13,5.81E-05,59.615331,-1.782669,Inf,0.151550829,NA,1.20468044,Inf,Inf,38.536,NA,13
14,1.46E-05,49.2529587,9.7819587,Inf,0.587172858,NA,2.055829245,Inf,Inf,6.38,NA,14
15,3.30E-05,50.382744,-2.214256,Inf,0.067400595,NA,1.086098473,Inf,Inf,33.133,NA,15
16,2.51E-05,54.849678,5.032678,Inf,0.340353692,NA,1.515814087,Inf,Inf,9.02,NA,16
17,4.10E-06,41.276967,-5.564033,Inf,0.192400761,NA,1.285386387,Inf,Inf,27.607,NA,17
18,2.38E-06,41.0206485,0.4716485,Inf,0.365198708,NA,1.610464357,Inf,Inf,6.719,NA,18
19,3.36E-06,35.2185063,-6.2894937,Inf,0.179033604,NA,1.278258215,Inf,Inf,28.29,NA,19
20,4.51E-06,35.017311,-6.038689,Inf,0.477962433,NA,1.916589883,Inf,Inf,5.184,NA,20
21,1.51E-06,35.0808044,-0.4661956,Inf,0.049353782,NA,1.067065837,Inf,Inf,31.699,NA,21
22,3.35E-06,35.0335309,-5.5664691,Inf,0.487737792,NA,1.945677762,Inf,Inf,7.165,NA,22
23,1.40E-05,39.2459484,5.9284484,Inf,-0.110292873,NA,0.859473637,Inf,Inf,33.671,NA,23
24,2.36E-05,45.011128,2.199128,Inf,0.087334858,NA,1.11719077,Inf,Inf,34.299,NA,24
25,0.023283826,37.477197,12.681697,Inf,-0.11057106,NA,0.860950218,Inf,Inf,22.218,NA,25
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
27,-0.285560874,1,1,1,NA,-0.182830962,NA,0,0,#NAME?,NA,27
28,2.306342007,35,-24.559,Inf,0.248810389,NA,NA,Inf,Inf,8.722,NA,28
29,1.284332965,35,-13.393,Inf,0.198277771,NA,NA,Inf,Inf,16.579,NA,29
30,-0.1068977,1,1,1,NA,-0.822597147,NA,0,0,#NAME?,NA,30
31,3.90393659,35,-10.186,Inf,0.463090791,NA,NA,Inf,Inf,3.894,NA,31
32,3.322228053,35,0.585,Inf,-0.04016018,NA,NA,Inf,Inf,30.047,NA,32
33,0.797049217,29.003,1.687,Inf,NA,NA,NA,Inf,Inf,31.136,NA,33
34,3.972833324,35,0.555,Inf,0.316294775,NA,NA,Inf,Inf,6.082,NA,34
35,4.110127157,24.4225,0.416,Inf,0.327641773,0.405015982,NA,Inf,Inf,33.179,-0.077374208,35
36,1.509445256,25.25,1.92,Inf,0.199151984,NA,NA,Inf,Inf,31.659,NA,36
37,2.947988752,35,#NAME?,Inf,0.099775242,NA,NA,Inf,Inf,20.386,NA,37
38,4.707511577,35,0.298,Inf,0.069571427,NA,NA,Inf,Inf,30.39,NA,38
39,2.110205547,34.9995,2.402,Inf,0.252985227,NA,NA,Inf,Inf,28.639,NA,39
40,3.291078022,35,0.387,Inf,0.158506571,NA,NA,Inf,Inf,18.303,NA,40
