,OriginalID,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
1,1,1.16E-05,28.024,16.269,46.586,NA,0.97994921,NA,18.562,30.317,15.305,NA
2,2,1.14E-05,26.88,16.133,41.442,NA,0.735709584,NA,14.562,25.309,11.513,NA
3,3,1.08E-07,26.569886,11.708886,79.844886,0.143804719,0.665302299,1.210154764,53.275,68.136,10.408,-0.521497579
4,4,9.53E-08,30.115036,10.838036,64.998036,0.640422341,NA,2.311339645,34.883,54.16,7.207,NA
5,5,7.29E-08,30.576464,7.190464,33.119464,0.679544396,NA,2.440960348,2.543,25.929,3.493,NA
6,6,2.05E-08,31.58785,15.04685,Inf,0.626344454,NA,2.273744529,Inf,Inf,6.051,NA
7,7,2.68E-06,17.15,7.296,33.945,NA,1.178980125,NA,16.795,26.649,15.15,NA
8,8,2.31E-05,32.095,12.939,94.251,0.055940157,0.172667747,1.074717304,62.156,81.312,14.9,-0.11672759
9,9,3.15E-05,31.323624,1.974624,72.196624,NA,0.318840644,NA,40.873,70.222,10.128,NA
10,10,5.35E-05,33.921237,3.012237,69.195237,0.262961344,0.343145657,1.391690724,35.274,66.183,11.269,-0.080184313
11,11,1.51E-06,26.022,-7.68,72.101,0.484433427,NA,1.955850372,46.079,79.781,15.002,NA
12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,13,6.59E-05,39.794331,-14.505669,80.826331,0.240260129,0.436845472,1.360191589,41.032,95.332,22.296,-0.196585343
14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,15,3.53E-05,33.138744,-5.563256,68.802744,0.20744876,0.225385042,1.318844533,35.664,74.366,26.368,-0.017936281
16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,5.37E-06,34.376967,-8.236033,44.348967,0.367253827,1.204565118,1.658327355,9.972,52.585,17.295,-0.837311292
18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,19,3.87E-06,24.9145063,-7.7604937,41.5535063,0.247634499,NA,1.416911296,16.639,49.314,22.449,NA
20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,21,2.07E-06,22.9038044,-6.1111956,31.6488044,0.12864086,NA,1.198033621,8.745,37.76,22.003,NA
22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
