,OriginalID,rmax,topt,ctmin,ctmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness
12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
