"","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","orginalID","species","AIC"
"1",0.0764751881470482,43,16.773,Inf,-0.136640687508253,NA,0.835059613623597,Inf,Inf,21.456,NA,1,"Gossypium hirsutum","-31.7613465624354"
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"Gossypium hirsutum","NULL"
"3",0.0877414319048746,37,16.872,Inf,-0.410607608095014,NA,0.586547158637139,Inf,Inf,15.503,NA,3,"Camelina sativa","-14.046625481329"
"4",0.0773879206681309,43,15.65,Inf,-0.208487636132581,NA,0.763803384847676,Inf,Inf,20.906,NA,4,"Nicotiana tabacum","-30.7077766092025"
"5",57.7450726756851,40,-Inf,Inf,-0.185438586587934,NA,NA,Inf,Inf,30,NA,5,"Spinacia oleracea","77.1487370175031"
"6",76.7151283417145,35.388,13.95,Inf,-0.0200786780677232,0.618708368942695,NA,Inf,Inf,26.503,-0.638787047010419,6,"Spinacia oleracea","75.2648453945518"
"7",90.5330162823945,31.6455,8.986,Inf,0.0224856405333566,NA,NA,Inf,Inf,29.52,NA,7,"Ipomoea batatas","68.2275762492825"
"8",83.8550523969189,40,4.651,Inf,-0.00436808436917652,NA,NA,Inf,Inf,27.41,NA,8,"Ipomoea batatas","66.1817437888713"
"9",73.8812019662577,31.6455,8.986,Inf,0.0538691370746091,NA,NA,Inf,Inf,29.52,NA,9,"Ipomoea batatas","65.7327052276699"
"10",83.2070813767357,41.285,21.891,Inf,-0.00357497756249818,NA,NA,Inf,Inf,21.475,NA,10,"Triticum aestivum","60.739242302169"
"11",78.0649995947529,34.937,14.942,Inf,-0.0513847579070666,NA,NA,Inf,Inf,23.499,NA,11,"Oryza sativa","64.1011043162825"
"12",70.5079604926282,35.937,14.942,Inf,-0.0258228483387403,NA,NA,Inf,Inf,25.499,NA,12,"Oryza sativa","64.0664996627168"
"13",99,35.486,15.935,Inf,-0.0122800861430668,NA,NA,Inf,Inf,22.496,NA,13,"Oryza sativa","63.3965884146386"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"Larrea tridentata","NULL"
"15",0.574779654319626,44.996,10.712,Inf,0.0818830355719337,NA,1.09935134650353,Inf,Inf,30.358,NA,15,"Larrea tridentata","14.594985955559"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"Deschampsia antarctica","NULL"
"17",0.602055705479074,40,7.96,Inf,-0.325002351181938,NA,NA,Inf,Inf,26.057,NA,17,"Deschampsia antarctica","17.2769721907475"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,"Pisum sativum","NULL"
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Pisum sativum","NULL"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,"Quercus pubescens","NULL"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,"Triticum aestivum","NULL"
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,"Triticum aestivum","NULL"
