"","rmax","topt","ctmin","ctmax","e","eh","q10","thermal_safety_margin","thermal_tolerance","breadth","skewness","orginalID","species","AIC"
"1",0.104985691224477,31.28,11.972,44.749,0.486347968666183,1.2828180134243,1.87760979443614,13.469,32.777,11.807,-0.79647004475812,1,"Gossypium hirsutum","-68.6276306263662"
"3",0.107726247979614,28.88,-Inf,37.491,0.125626221859287,1.6871881630083,1.17910541223737,8.611,Inf,13.649,-1.56156194114901,3,"Camelina sativa","-42.6069254958031"
"4",0.108094120781708,30.403,-15.469,46.731,0.314514434258767,1.40888675633427,1.50476981722111,16.328,62.2,10.663,-1.09437232207551,4,"Nicotiana tabacum","-66.9270329934958"
"5",89.9666094005197,10,-Inf,50.293,NA,0.185438298475538,NA,40.293,Inf,20.801,NA,5,"Spinacia oleracea","43.6157966737899"
"6",101.640376360487,25.497,-Inf,61.611,NA,0.481254766814161,NA,36.114,Inf,19.411,NA,6,"Spinacia oleracea","43.5693435954492"
"7",88.9697713487363,24.623,-Inf,Inf,0.032519181507909,0.0212986627295777,NA,Inf,Inf,30,0.0112205187783313,7,"Ipomoea batatas","38.2884932956571"
"8",86.3431423929184,26.162,-Inf,85.076,0.0660618678328598,0.181535930478717,NA,58.914,Inf,29.896,-0.115474062645858,8,"Ipomoea batatas","39.6143785292302"
"9",78.0846815964285,25.474,-Inf,73.635,0.0646963059340952,0.250126915002035,NA,48.161,Inf,27.944,-0.18543060906794,9,"Ipomoea batatas","32.8414206809218"
"10",96.3117521370452,26.1065,-Inf,45.703,NA,0.413118911411846,NA,19.5965,Inf,20.815,NA,10,"Triticum aestivum","23.9469952315699"
"11",83.040392458243,16,-Inf,44.185,NA,0.108359757956651,NA,28.185,Inf,22.068,NA,11,"Oryza sativa","45.5880128108536"
"12",77.9591387230013,20.867,-Inf,54.3,NA,0.237410024616502,NA,33.433,Inf,20.919,NA,12,"Oryza sativa","28.6519505162553"
"13",99.5799861362518,23.892,-Inf,Inf,NA,0.0591949008113881,NA,Inf,Inf,23,NA,13,"Oryza sativa","34.8157480871075"
"15",1.12296134923995,28.967,10.103,43.803,1.03608380054917,1.51088632353941,4.02881624394673,14.836,33.7,9.22,-0.474802522990238,15,"Larrea tridentata","-33.7626767613365"
"17",0.945842635938196,24.048,-Inf,35.643,NA,1.09931696511251,NA,11.595,Inf,17.512,NA,17,"Deschampsia antarctica","-11.2513616615911"
"23",64.2630596357689,24.071,-Inf,Inf,NA,0.0530912760837939,NA,Inf,Inf,22,NA,23,"Oryza meridionalis","39.1221557258596"
"24",0.3441995867014,31.76,-1.93,56.666,NA,0.768671775655963,NA,24.906,58.596,11.028,NA,24,"Oryza australiensis","-25.1342169779635"
"25",0.179666883030934,33.745,1.602,56.208,NA,0.643257965571967,NA,22.463,54.606,10.232,NA,25,"Oryza australiensis","-19.7921030419777"
"26",5.84311278669676,42.289,-7.762,50.334,0.403625705328629,3.30422574318479,NA,8.045,58.096,8.192,-2.90060003785616,26,"Nicotiana rusticum","21.5046622409421"
"27",3.26014945667793,43.211,10.075,47.685,0.592762986865737,7.60703445234377,2.12528058828204,4.474,37.61,9.233,-7.01427146547803,27,"Nicotiana rusticum","-12.2651904231742"
"28",92.9570327472098,27.022,4.462,36.804,0.341272151752222,NA,NA,9.782,32.342,16.077,NA,28,"Medicago sativa","46.5866753122856"
"30",81.1039610445135,22.246,-Inf,Inf,NA,0.127878925982431,NA,Inf,Inf,24.166,NA,30,"Nicotiana tabacum","23.0387597108413"
"31",74.7243199519899,23.382,-Inf,Inf,NA,0.105492874831025,NA,Inf,Inf,25,NA,31,"Nicotiana tabacum","24.3890950543532"
"32",55.6192255834359,20.364,-Inf,Inf,NA,0.194145147395416,NA,Inf,Inf,19.863,NA,32,"Nicotiana tabacum","16.8838683064745"
"33",78.1751776079129,20.903,-34.567,Inf,NA,0.220693217793455,NA,Inf,Inf,18.618,NA,33,"Nicotiana tabacum","17.3142648875455"
"35",71.0304136571233,21.204,-Inf,Inf,NA,0.125883450438754,NA,Inf,Inf,24.302,NA,35,"Nicotiana tabacum","20.3840721279168"
"36",199.311063759771,31.335,-7.242,43.67,0.509516372449249,NA,NA,12.335,50.912,8.446,NA,36,"Hordeum vulgare","24.973871485124"
"37",211.821266080797,35,3.778,Inf,0.500142803991155,NA,NA,Inf,Inf,5.052,NA,37,"Hordeum vulgare","35.914832636139"
"38",177.754104306449,31.913,0.0799999999999983,77.319,0.516618595386353,NA,NA,45.406,77.239,9.86,NA,38,"Brassica Rapa","21.6882022119368"
"39",142.978623913569,35,4.589,Inf,0.487664935559125,NA,NA,Inf,Inf,5.456,NA,39,"Brassica Rapa","40.1885362532711"
"40",206.256823991494,31.548,1.226,47.426,0.659062670912381,NA,NA,15.878,46.2,8.136,NA,40,"Vicia faba","-1.65530728795237"
"41",180.159499686104,35,6.726,Inf,0.414663544177582,NA,NA,Inf,Inf,7.996,NA,41,"Vicia faba","43.3909538924351"
"42",219.542241328301,35,7.955,Inf,0.436920030494068,NA,NA,Inf,Inf,7.282,NA,42,"Chenopodium album","26.3568342454985"
"43",244.833657819619,35,5.285,Inf,0.594328974021714,NA,NA,Inf,Inf,3.796,NA,43,"Chenopodium album","26.7555638917135"
"44",207.522807786297,35,5.208,Inf,0.413275327266388,NA,NA,Inf,Inf,7.396,NA,44,"Helianthus annuus","46.3884038873557"
"45",211.200079919016,35,5.556,Inf,0.425112879501902,NA,NA,Inf,Inf,7.511,NA,45,"Helianthus annuus","33.1855901764203"
"46",140.828442321718,35,7.405,Inf,0.462030226929361,NA,NA,Inf,Inf,7.146,NA,46,"Lycopersicon esculentum","37.7866461477417"
"47",152.540899649208,35,6.389,Inf,0.496252736577818,NA,NA,Inf,Inf,6.008,NA,47,"Lycopersicon esculentum","31.2794442876722"
"48",117.770513466343,35,11.544,Inf,0.377231325239816,NA,NA,Inf,Inf,11.408,NA,48,"Glycine max","13.3113059938793"
"49",166.386592661278,35,2.373,Inf,0.400002931879499,NA,NA,Inf,Inf,6.991,NA,49,"Glycine max","36.5893262818789"
